dispatch_id,dispatch_number,co_id,customer_id,dispatch_date,source_location,transport_mode,vehicle_number,lr_number,driver_name,transport_company,delivery_address,city,state,expected_delivery_date,actual_delivery_date,dispatched_by,status,remarks
80,DSP202508190080,80,12,2025-08-19,Finished Goods Warehouse - EV Motor Zone,Courier,COURIER-00080,LR25081900080,,VRL Logistics,"Piaggio Vehicles, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-08-24,2025-08-25,10,Delivered,Delivered dispatch for SO202606300080 to Pune.
81,DSP202508220081,81,4,2025-08-22,Finished Goods Warehouse - Premium Motor Aisle,Rail,KA 78 DM 2071,LR25082200081,Manoj Yadav,TCI Freight,"Bajaj Auto, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-08-27,2025-08-26,11,Delivered,Delivered dispatch for SO202606300081 to Pune.
82,DSP202508250082,82,7,2025-08-25,Finished Goods Warehouse - Export Hold,Road,MH 85 EN 2862,LR25082500082,Arun Prakash,Delhivery Heavy Goods,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-08-28,2025-08-28,8,Delivered,Delivered dispatch for SO202606300082 to Bengaluru.
83,DSP202508260083,83,11,2025-08-26,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 92 FO 3653,LR25082600083,Naveen Singh,Blue Dart Cargo,"Mahindra Last Mile Mobility, EV Motor Receiving Dock, Haridwar, Uttarakhand",Haridwar,Uttarakhand,2025-09-04,2025-09-05,1,Delivered,Delivered dispatch for SO202606300083 to Haridwar.
84,DSP202508160084,84,3,2025-08-16,Finished Goods Warehouse - EV Motor Zone,Road,HR 01 GP 4444,LR25081600084,Ravi Kumar,Mahindra Logistics,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-08-18,2025-08-17,12,Delivered,Delivered dispatch for SO202606300084 to Hosur.
85,DSP202508170085,85,9,2025-08-17,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 08 HQ 5235,LR25081700085,Imran Khan,Gati KWE,"Simple Energy, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-08-20,2025-08-20,13,Delivered,Delivered dispatch for SO202606300085 to Bengaluru.
86,DSP202508180086,86,15,2025-08-18,Finished Goods Warehouse - Export Hold,Courier,COURIER-00086,LR25081800086,,Rivigo Services,"YC Electric, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-08-26,2025-08-27,10,Delivered,Delivered dispatch for SO202606300086 to Delhi.
87,DSP202508200087,87,6,2025-08-20,Finished Goods Warehouse - Dispatch Ready Bay,Customer Pickup,PICKUP-00087,CPU000087,Sanjay Patil,Customer Pickup,"Greaves Electric Mobility, EV Motor Receiving Dock, Ranipet, Tamil Nadu",Ranipet,Tamil Nadu,2025-08-22,2025-08-21,11,Delivered,Delivered dispatch for SO202606300087 to Ranipet.
88,DSP202508220088,88,15,2025-08-22,Finished Goods Warehouse - EV Motor Zone,Road,TN 29 KT 7608,LR25082200088,Dinesh Sharma,Agarwal Packers Logistics,"YC Electric, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-08-30,2025-08-30,8,Delivered,Delivered dispatch for SO202606300088 to Delhi.
89,DSP202508240089,89,12,2025-08-24,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 36 LU 8399,LR25082400089,Kannan M,Om Logistics,"Piaggio Vehicles, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-08-29,2025-08-30,1,Delivered,Delivered dispatch for SO202606300089 to Pune.
90,DSP202508260090,90,3,2025-08-26,Finished Goods Warehouse - Export Hold,Road,MH 43 MV 9190,LR25082600090,Suresh Kumar,VRL Logistics,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-08-28,2025-08-27,12,Delivered,Delivered dispatch for SO202606300090 to Hosur.
91,DSP202508270091,91,7,2025-08-27,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 50 NW 9981,LR25082700091,Manoj Yadav,TCI Freight,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-08-30,2025-08-30,13,Delivered,Delivered dispatch for SO202606300091 to Bengaluru.
92,DSP202509010092,92,4,2025-09-01,Finished Goods Warehouse - EV Motor Zone,Road,HR 57 OX 1772,LR25090100092,Arun Prakash,Delhivery Heavy Goods,"Bajaj Auto, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-09-06,2025-09-07,10,Delivered,Delivered dispatch for SO202606300092 to Pune.
93,DSP202509020093,93,22,2025-09-02,Finished Goods Warehouse - Premium Motor Aisle,Courier,COURIER-00093,LR25090200093,,Blue Dart Cargo,"Switch Mobility, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-09-04,2025-09-03,11,Delivered,Delivered dispatch for SO202606300093 to Chennai.
94,DSP202509040094,94,13,2025-09-04,Finished Goods Warehouse - Export Hold,Customer Pickup,PICKUP-00094,CPU000094,Ravi Kumar,Customer Pickup,"Omega Seiki, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-09-12,2025-09-12,8,Delivered,Delivered dispatch for SO202606300094 to Delhi.
95,DSP202509080095,95,6,2025-09-08,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 78 RA 4145,LR25090800095,Imran Khan,Gati KWE,"Greaves Electric Mobility, EV Motor Receiving Dock, Ranipet, Tamil Nadu",Ranipet,Tamil Nadu,2025-09-10,2025-09-11,1,Delivered,Delivered dispatch for SO202606300095 to Ranipet.
96,DSP202508290096,96,10,2025-08-29,Finished Goods Warehouse - EV Motor Zone,Road,TN 85 SB 4936,LR25082900096,Prakash Reddy,Rivigo Services,"Ampere Electric, EV Motor Receiving Dock, Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,2025-08-31,2025-08-30,12,Delivered,Delivered dispatch for SO202606300096 to Coimbatore.
97,DSP202509010097,97,1,2025-09-01,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 92 TC 5727,LR25090100097,Sanjay Patil,Safexpress,"Ather Energy, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-09-03,2025-09-03,13,Delivered,Delivered dispatch for SO202606300097 to Hosur.
98,DSP202509030098,98,15,2025-09-03,Finished Goods Warehouse - Export Hold,Road,MH 01 UD 6518,LR25090300098,Dinesh Sharma,Agarwal Packers Logistics,"YC Electric, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-09-11,2025-09-12,10,Delivered,Delivered dispatch for SO202606300098 to Delhi.
99,DSP202509060099,99,1,2025-09-06,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 08 VE 7309,LR25090600099,Kannan M,Om Logistics,"Ather Energy, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-09-08,2025-09-07,11,Delivered,Delivered dispatch for SO202606300099 to Hosur.
100,DSP202509070100,100,18,2025-09-07,Finished Goods Warehouse - EV Motor Zone,Courier,COURIER-00100,LR25090700100,,VRL Logistics,"Ashok Leyland, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-09-09,2025-09-09,8,Delivered,Delivered dispatch for SO202606300100 to Chennai.
101,DSP202509090101,101,5,2025-09-09,Finished Goods Warehouse - Premium Motor Aisle,Customer Pickup,PICKUP-00101,CPU000101,Manoj Yadav,Customer Pickup,"Hero MotoCorp, EV Motor Receiving Dock, Neemrana, Rajasthan",Neemrana,Rajasthan,2025-09-17,2025-09-18,1,Delivered,Delivered dispatch for SO202606300101 to Neemrana.
102,DSP202509120102,102,7,2025-09-12,Finished Goods Warehouse - Export Hold,Road,TS 29 YH 9682,LR25091200102,Arun Prakash,Delhivery Heavy Goods,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-09-15,2025-09-14,12,Delivered,Delivered dispatch for SO202606300102 to Bengaluru.
103,DSP202509130103,103,15,2025-09-13,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 36 ZI 1473,LR25091300103,Naveen Singh,Blue Dart Cargo,"YC Electric, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-09-21,2025-09-21,13,Delivered,Delivered dispatch for SO202606300103 to Delhi.
104,DSP202509150104,104,13,2025-09-15,Finished Goods Warehouse - EV Motor Zone,Road,TN 43 AJ 2264,LR25091500104,Ravi Kumar,Mahindra Logistics,"Omega Seiki, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-09-23,2025-09-24,10,Delivered,Delivered dispatch for SO202606300104 to Delhi.
105,DSP202509170105,105,3,2025-09-17,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 50 BK 3055,LR25091700105,Imran Khan,Gati KWE,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-09-19,2025-09-18,11,Delivered,Delivered dispatch for SO202606300105 to Hosur.
106,DSP202509180106,106,17,2025-09-18,Finished Goods Warehouse - Export Hold,Road,MH 57 CL 3846,LR25091800106,Prakash Reddy,Rivigo Services,"Altigreen, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-09-21,2025-09-21,8,Delivered,Delivered dispatch for SO202606300106 to Bengaluru.
107,DSP202509200107,107,5,2025-09-20,Finished Goods Warehouse - Dispatch Ready Bay,Courier,COURIER-00107,LR25092000107,,Safexpress,"Hero MotoCorp, EV Motor Receiving Dock, Neemrana, Rajasthan",Neemrana,Rajasthan,2025-09-28,2025-09-29,1,Delivered,Delivered dispatch for SO202606300107 to Neemrana.
108,DSP202509110108,108,6,2025-09-11,Finished Goods Warehouse - EV Motor Zone,Rail,HR 71 EN 5428,LR25091100108,Dinesh Sharma,Agarwal Packers Logistics,"Greaves Electric Mobility, EV Motor Receiving Dock, Ranipet, Tamil Nadu",Ranipet,Tamil Nadu,2025-09-13,2025-09-12,12,Delivered,Delivered dispatch for SO202606300108 to Ranipet.
109,DSP202509150109,109,7,2025-09-15,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 78 FO 6219,LR25091500109,Kannan M,Om Logistics,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-09-18,2025-09-18,13,Delivered,Delivered dispatch for SO202606300109 to Bengaluru.
110,DSP202509180110,110,1,2025-09-18,Finished Goods Warehouse - Export Hold,Road,TS 85 GP 7010,LR25091800110,Suresh Kumar,VRL Logistics,"Ather Energy, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-09-20,2025-09-21,10,Delivered,Delivered dispatch for SO202606300110 to Hosur.
111,DSP202509190111,111,3,2025-09-19,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 92 HQ 7801,LR25091900111,Manoj Yadav,TCI Freight,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-09-21,2025-09-20,11,Delivered,Delivered dispatch for SO202606300111 to Hosur.
112,DSP202509200112,112,20,2025-09-20,Finished Goods Warehouse - EV Motor Zone,Road,TN 01 IR 8592,LR25092000112,Arun Prakash,Delhivery Heavy Goods,"Montra Electric, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-09-22,2025-09-22,8,Delivered,Delivered dispatch for SO202606300112 to Chennai.
113,DSP202509220113,113,3,2025-09-22,Finished Goods Warehouse - Premium Motor Aisle,Courier,COURIER-00113,LR25092200113,,Blue Dart Cargo,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-09-24,2025-09-25,1,Delivered,Delivered dispatch for SO202606300113 to Hosur.
114,DSP202509230114,114,16,2025-09-23,Finished Goods Warehouse - Export Hold,Customer Pickup,PICKUP-00114,CPU000114,Ravi Kumar,Customer Pickup,"Kinetic Green, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-09-28,2025-09-27,12,Delivered,Delivered dispatch for SO202606300114 to Pune.
115,DSP202509250115,115,14,2025-09-25,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 22 LU 1965,LR25092500115,Imran Khan,Gati KWE,"Euler Motors, EV Motor Receiving Dock, New Delhi, Delhi",New Delhi,Delhi,2025-10-03,2025-10-03,13,Delivered,Delivered dispatch for SO202606300115 to New Delhi.
116,DSP202509270116,116,2,2025-09-27,Finished Goods Warehouse - EV Motor Zone,Road,HR 29 MV 2756,LR25092700116,Prakash Reddy,Rivigo Services,"Ola Electric, EV Motor Receiving Dock, Krishnagiri, Tamil Nadu",Krishnagiri,Tamil Nadu,2025-09-29,2025-09-30,10,Delivered,Delivered dispatch for SO202606300116 to Krishnagiri.
117,DSP202509280117,117,10,2025-09-28,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 36 NW 3547,LR25092800117,Sanjay Patil,Safexpress,"Ampere Electric, EV Motor Receiving Dock, Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,2025-09-30,2025-09-29,11,Delivered,Delivered dispatch for SO202606300117 to Coimbatore.
118,DSP202509290118,118,17,2025-09-29,Finished Goods Warehouse - Export Hold,Road,TS 43 OX 4338,LR25092900118,Dinesh Sharma,Agarwal Packers Logistics,"Altigreen, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-10-02,2025-10-02,8,Delivered,Delivered dispatch for SO202606300118 to Bengaluru.
119,DSP202510020119,119,7,2025-10-02,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 50 PY 5129,LR25100200119,Kannan M,Om Logistics,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-10-05,2025-10-06,1,Delivered,Delivered dispatch for SO202606300119 to Bengaluru.
120,DSP202509220120,120,9,2025-09-22,Finished Goods Warehouse - EV Motor Zone,Courier,COURIER-00120,LR25092200120,,VRL Logistics,"Simple Energy, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-09-25,2025-09-24,12,Delivered,Delivered dispatch for SO202606300120 to Bengaluru.
121,DSP202509230121,121,22,2025-09-23,Finished Goods Warehouse - Premium Motor Aisle,Customer Pickup,PICKUP-00121,CPU000121,Manoj Yadav,Customer Pickup,"Switch Mobility, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-09-25,2025-09-25,13,Delivered,Delivered dispatch for SO202606300121 to Chennai.
122,DSP202509250122,122,13,2025-09-25,Finished Goods Warehouse - Export Hold,Road,MH 71 SB 7502,LR25092500122,Arun Prakash,Delhivery Heavy Goods,"Omega Seiki, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-10-03,2025-10-04,10,Delivered,Delivered dispatch for SO202606300122 to Delhi.
123,DSP202509260123,123,14,2025-09-26,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 78 TC 8293,LR25092600123,Naveen Singh,Blue Dart Cargo,"Euler Motors, EV Motor Receiving Dock, New Delhi, Delhi",New Delhi,Delhi,2025-10-04,2025-10-03,11,Delivered,Delivered dispatch for SO202606300123 to New Delhi.
124,DSP202509280124,124,3,2025-09-28,Finished Goods Warehouse - EV Motor Zone,Road,HR 85 UD 9084,LR25092800124,Ravi Kumar,Mahindra Logistics,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-09-30,2025-09-30,8,Delivered,Delivered dispatch for SO202606300124 to Hosur.
125,DSP202509290125,125,12,2025-09-29,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 92 VE 9875,LR25092900125,Imran Khan,Gati KWE,"Piaggio Vehicles, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-10-04,2025-10-05,1,Delivered,Delivered dispatch for SO202606300125 to Pune.
126,DSP202509300126,126,17,2025-09-30,Finished Goods Warehouse - Export Hold,Road,TS 01 WF 1666,LR25093000126,Prakash Reddy,Rivigo Services,"Altigreen, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-10-03,2025-10-02,12,Delivered,Delivered dispatch for SO202606300126 to Bengaluru.
127,DSP202510020127,127,13,2025-10-02,Finished Goods Warehouse - Dispatch Ready Bay,Courier,COURIER-00127,LR25100200127,,Safexpress,"Omega Seiki, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-10-10,2025-10-10,13,Delivered,Delivered dispatch for SO202606300127 to Delhi.
128,DSP202510030128,128,25,2025-10-03,Finished Goods Warehouse - EV Motor Zone,Customer Pickup,PICKUP-00128,CPU000128,Dinesh Sharma,Customer Pickup,"Siemens India, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-10-05,2025-10-06,10,Delivered,Delivered dispatch for SO202606300128 to Chennai.
129,DSP202510060129,129,4,2025-10-06,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 22 ZI 4039,LR25100600129,Kannan M,Om Logistics,"Bajaj Auto, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-10-11,2025-10-10,11,Delivered,Delivered dispatch for SO202606300129 to Pune.
130,DSP202510090130,130,5,2025-10-09,Finished Goods Warehouse - Export Hold,Road,MH 29 AJ 4830,LR25100900130,Suresh Kumar,VRL Logistics,"Hero MotoCorp, EV Motor Receiving Dock, Neemrana, Rajasthan",Neemrana,Rajasthan,2025-10-17,2025-10-17,8,Delivered,Delivered dispatch for SO202606300130 to Neemrana.
131,DSP202510100131,131,6,2025-10-10,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 36 BK 5621,LR25101000131,Manoj Yadav,TCI Freight,"Greaves Electric Mobility, EV Motor Receiving Dock, Ranipet, Tamil Nadu",Ranipet,Tamil Nadu,2025-10-12,2025-10-13,1,Delivered,Delivered dispatch for SO202606300131 to Ranipet.
132,DSP202509300132,132,8,2025-09-30,Finished Goods Warehouse - EV Motor Zone,Road,HR 43 CL 6412,LR25093000132,Arun Prakash,Delhivery Heavy Goods,"Ultraviolette Automotive, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-10-03,2025-10-02,12,Delivered,Delivered dispatch for SO202606300132 to Bengaluru.
133,DSP202510040133,133,11,2025-10-04,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 50 DM 7203,LR25100400133,Naveen Singh,Blue Dart Cargo,"Mahindra Last Mile Mobility, EV Motor Receiving Dock, Haridwar, Uttarakhand",Haridwar,Uttarakhand,2025-10-13,2025-10-13,13,Delivered,Delivered dispatch for SO202606300133 to Haridwar.
134,DSP202510060134,134,6,2025-10-06,Finished Goods Warehouse - Export Hold,Courier,COURIER-00134,LR25100600134,,Mahindra Logistics,"Greaves Electric Mobility, EV Motor Receiving Dock, Ranipet, Tamil Nadu",Ranipet,Tamil Nadu,2025-10-08,2025-10-09,10,Delivered,Delivered dispatch for SO202606300134 to Ranipet.
135,DSP202510070135,135,14,2025-10-07,Finished Goods Warehouse - Dispatch Ready Bay,Rail,RJ 64 FO 8785,LR25100700135,Imran Khan,Gati KWE,"Euler Motors, EV Motor Receiving Dock, New Delhi, Delhi",New Delhi,Delhi,2025-10-15,2025-10-14,11,Delivered,Delivered dispatch for SO202606300135 to New Delhi.
136,DSP202510080136,136,17,2025-10-08,Finished Goods Warehouse - EV Motor Zone,Road,TN 71 GP 9576,LR25100800136,Prakash Reddy,Rivigo Services,"Altigreen, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-10-11,2025-10-11,8,Delivered,Delivered dispatch for SO202606300136 to Bengaluru.
137,DSP202510100137,137,1,2025-10-10,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 78 HQ 1367,LR25101000137,Sanjay Patil,Safexpress,"Ather Energy, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-10-12,2025-10-13,1,Delivered,Delivered dispatch for SO202606300137 to Hosur.
138,DSP202510110138,138,20,2025-10-11,Finished Goods Warehouse - Export Hold,Road,MH 85 IR 2158,LR25101100138,Dinesh Sharma,Agarwal Packers Logistics,"Montra Electric, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-10-13,2025-10-12,12,Delivered,Delivered dispatch for SO202606300138 to Chennai.
139,DSP202510130139,139,14,2025-10-13,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 92 JS 2949,LR25101300139,Kannan M,Om Logistics,"Euler Motors, EV Motor Receiving Dock, New Delhi, Delhi",New Delhi,Delhi,2025-10-21,2025-10-21,13,Delivered,Delivered dispatch for SO202606300139 to New Delhi.
140,DSP202510140140,140,17,2025-10-14,Finished Goods Warehouse - EV Motor Zone,Courier,COURIER-00140,LR25101400140,,VRL Logistics,"Altigreen, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-10-17,2025-10-18,10,Delivered,Delivered dispatch for SO202606300140 to Bengaluru.
141,DSP202510160141,141,3,2025-10-16,Finished Goods Warehouse - Premium Motor Aisle,Customer Pickup,PICKUP-00141,CPU000141,Manoj Yadav,Customer Pickup,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-10-18,2025-10-17,11,Delivered,Delivered dispatch for SO202606300141 to Hosur.
142,DSP202510170142,142,12,2025-10-17,Finished Goods Warehouse - Export Hold,Road,TS 15 MV 5322,LR25101700142,Arun Prakash,Delhivery Heavy Goods,"Piaggio Vehicles, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-10-22,2025-10-22,8,Delivered,Delivered dispatch for SO202606300142 to Pune.
143,DSP202510200143,143,14,2025-10-20,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 22 NW 6113,LR25102000143,Naveen Singh,Blue Dart Cargo,"Euler Motors, EV Motor Receiving Dock, New Delhi, Delhi",New Delhi,Delhi,2025-10-28,2025-10-29,1,Delivered,Delivered dispatch for SO202606300143 to New Delhi.
144,DSP202510100144,144,8,2025-10-10,Finished Goods Warehouse - EV Motor Zone,Road,TN 29 OX 6904,LR25101000144,Ravi Kumar,Mahindra Logistics,"Ultraviolette Automotive, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-10-13,2025-10-12,12,Delivered,Delivered dispatch for SO202606300144 to Bengaluru.
145,DSP202510110145,145,20,2025-10-11,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 36 PY 7695,LR25101100145,Imran Khan,Gati KWE,"Montra Electric, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-10-13,2025-10-13,13,Delivered,Delivered dispatch for SO202606300145 to Chennai.
146,DSP202510160146,146,7,2025-10-16,Finished Goods Warehouse - Export Hold,Road,MH 43 QZ 8486,LR25101600146,Prakash Reddy,Rivigo Services,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-10-19,2025-10-20,10,Delivered,Delivered dispatch for SO202606300146 to Bengaluru.
147,DSP202510210147,147,6,2025-10-21,Finished Goods Warehouse - Dispatch Ready Bay,Courier,COURIER-00147,LR25102100147,,Safexpress,"Greaves Electric Mobility, EV Motor Receiving Dock, Ranipet, Tamil Nadu",Ranipet,Tamil Nadu,2025-10-23,2025-10-22,11,Delivered,Delivered dispatch for SO202606300147 to Ranipet.
148,DSP202510240148,148,3,2025-10-24,Finished Goods Warehouse - EV Motor Zone,Customer Pickup,PICKUP-00148,CPU000148,Dinesh Sharma,Customer Pickup,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-10-26,2025-10-26,8,Delivered,Delivered dispatch for SO202606300148 to Hosur.
149,DSP202510260149,149,9,2025-10-26,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 64 TC 1859,LR25102600149,Kannan M,Om Logistics,"Simple Energy, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-10-29,2025-10-30,1,Delivered,Delivered dispatch for SO202606300149 to Bengaluru.
150,DSP202510290150,150,3,2025-10-29,Finished Goods Warehouse - Export Hold,Road,TS 71 UD 2650,LR25102900150,Suresh Kumar,VRL Logistics,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-10-31,2025-10-30,12,Delivered,Delivered dispatch for SO202606300150 to Hosur.
151,DSP202510300151,151,8,2025-10-30,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 78 VE 3441,LR25103000151,Manoj Yadav,TCI Freight,"Ultraviolette Automotive, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-11-02,2025-11-02,13,Delivered,Delivered dispatch for SO202606300151 to Bengaluru.
152,DSP202511020152,152,1,2025-11-02,Finished Goods Warehouse - EV Motor Zone,Road,TN 85 WF 4232,LR25110200152,Arun Prakash,Delhivery Heavy Goods,"Ather Energy, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-11-04,2025-11-05,10,Delivered,Delivered dispatch for SO202606300152 to Hosur.
153,DSP202511030153,153,2,2025-11-03,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 92 XG 5023,LR25110300153,Naveen Singh,Blue Dart Cargo,"Ola Electric, EV Motor Receiving Dock, Krishnagiri, Tamil Nadu",Krishnagiri,Tamil Nadu,2025-11-05,2025-11-04,11,Delivered,Delivered dispatch for SO202606300153 to Krishnagiri.
154,DSP202511070154,154,13,2025-11-07,Finished Goods Warehouse - Export Hold,Courier,COURIER-00154,LR25110700154,,Mahindra Logistics,"Omega Seiki, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-11-15,2025-11-15,8,Delivered,Delivered dispatch for SO202606300154 to Delhi.
155,DSP202511090155,155,2,2025-11-09,Finished Goods Warehouse - Dispatch Ready Bay,Customer Pickup,PICKUP-00155,CPU000155,Imran Khan,Customer Pickup,"Ola Electric, EV Motor Receiving Dock, Krishnagiri, Tamil Nadu",Krishnagiri,Tamil Nadu,2025-11-11,2025-11-12,1,Delivered,Delivered dispatch for SO202606300155 to Krishnagiri.
156,DSP202510300156,156,16,2025-10-30,Finished Goods Warehouse - EV Motor Zone,Road,HR 15 AJ 7396,LR25103000156,Prakash Reddy,Rivigo Services,"Kinetic Green, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-11-04,2025-11-03,12,Delivered,Delivered dispatch for SO202606300156 to Pune.
157,DSP202511020157,157,1,2025-11-02,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 22 BK 8187,LR25110200157,Sanjay Patil,Safexpress,"Ather Energy, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-11-04,2025-11-04,13,Delivered,Delivered dispatch for SO202606300157 to Hosur.
158,DSP202511030158,158,4,2025-11-03,Finished Goods Warehouse - Export Hold,Road,TS 29 CL 8978,LR25110300158,Dinesh Sharma,Agarwal Packers Logistics,"Bajaj Auto, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-11-08,2025-11-09,10,Delivered,Delivered dispatch for SO202606300158 to Pune.
159,DSP202511040159,159,8,2025-11-04,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 36 DM 9769,LR25110400159,Kannan M,Om Logistics,"Ultraviolette Automotive, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-11-07,2025-11-06,11,Delivered,Delivered dispatch for SO202606300159 to Bengaluru.
