dispatch_item_id,dispatch_id,co_item_id,item_id,item_description,uom,ordered_quantity,dispatched_quantity,unit_price,line_amount,batch_no,serial_no,remarks
163,163,163,100,BLDC Motor 1.5 kW,No,24,2,22385,44770,FG-FG001-2511-0163,SN-FG001-00163-00164,Delivered 2 No of BLDC Motor 1.5 kW.
164,164,164,102,PMSM Motor 7.5 kW,No,16,3,100450,301350,FG-FG003-2511-0164,SN-FG003-00164-00166,Delivered 3 No of PMSM Motor 7.5 kW.
165,165,165,100,BLDC Motor 1.5 kW,No,75,4,22940,91760,FG-FG001-2511-0165,SN-FG001-00165-00168,Delivered 4 No of BLDC Motor 1.5 kW.
166,166,166,100,BLDC Motor 1.5 kW,No,61,5,23217.5,116087.5,FG-FG001-2511-0166,SN-FG001-00166-00170,Delivered 5 No of BLDC Motor 1.5 kW.
167,167,167,102,PMSM Motor 7.5 kW,No,16,6,104140,624840,FG-FG003-2511-0167,SN-FG003-00167-00172,Delivered 6 No of PMSM Motor 7.5 kW.
168,168,168,100,BLDC Motor 1.5 kW,No,47,1,21830,21830,FG-FG001-2511-0168,SN-FG001-00168,Delivered 1 No of BLDC Motor 1.5 kW.
169,169,169,100,BLDC Motor 1.5 kW,No,56,2,22107.5,44215,FG-FG001-2511-0169,SN-FG001-00169-00170,Delivered 2 No of BLDC Motor 1.5 kW.
170,170,170,100,BLDC Motor 1.5 kW,No,73,3,22385,67155,FG-FG001-2511-0170,SN-FG001-00170-00172,Delivered 3 No of BLDC Motor 1.5 kW.
171,171,171,101,PMSM Motor 3 kW,No,34,4,44712.5,178850,FG-FG002-2511-0171,SN-FG002-00171-00174,Delivered 4 No of PMSM Motor 3 kW.
172,172,172,100,BLDC Motor 1.5 kW,No,65,5,22940,114700,FG-FG001-2511-0172,SN-FG001-00172-00176,Delivered 5 No of BLDC Motor 1.5 kW.
173,173,173,100,BLDC Motor 1.5 kW,No,80,6,23217.5,139305,FG-FG001-2511-0173,SN-FG001-00173-00178,Delivered 6 No of BLDC Motor 1.5 kW.
174,174,174,101,PMSM Motor 3 kW,No,31,1,46355,46355,FG-FG002-2511-0174,SN-FG002-00174,Delivered 1 No of PMSM Motor 3 kW.
175,175,175,100,BLDC Motor 1.5 kW,No,73,2,21830,43660,FG-FG001-2511-0175,SN-FG001-00175-00176,Delivered 2 No of BLDC Motor 1.5 kW.
176,176,176,100,BLDC Motor 1.5 kW,No,67,3,22107.5,66322.5,FG-FG001-2512-0176,SN-FG001-00176-00178,In Transit 3 No of BLDC Motor 1.5 kW.
177,177,177,100,BLDC Motor 1.5 kW,No,73,4,22385,89540,FG-FG001-2512-0177,SN-FG001-00177-00180,In Transit 4 No of BLDC Motor 1.5 kW.
178,178,178,101,PMSM Motor 3 kW,No,22,5,44712.5,223562.5,FG-FG002-2512-0178,SN-FG002-00178-00182,In Transit 5 No of PMSM Motor 3 kW.
179,179,179,100,BLDC Motor 1.5 kW,No,25,6,22940,137640,FG-FG001-2512-0179,SN-FG001-00179-00184,In Transit 6 No of BLDC Motor 1.5 kW.
180,180,180,100,BLDC Motor 1.5 kW,No,29,1,23217.5,23217.5,FG-FG001-2511-0180,SN-FG001-00180,In Transit 1 No of BLDC Motor 1.5 kW.
181,181,181,100,BLDC Motor 1.5 kW,No,79,2,23495,46990,FG-FG001-2512-0181,SN-FG001-00181-00182,In Transit 2 No of BLDC Motor 1.5 kW.
182,182,182,100,BLDC Motor 1.5 kW,No,56,3,21830,65490,FG-FG001-2512-0182,SN-FG001-00182-00184,In Transit 3 No of BLDC Motor 1.5 kW.
183,183,183,101,PMSM Motor 3 kW,No,26,4,43617.5,174470,FG-FG002-2512-0183,SN-FG002-00183-00186,In Transit 4 No of PMSM Motor 3 kW.
184,184,184,100,BLDC Motor 1.5 kW,No,58,5,22385,111925,FG-FG001-2512-0184,SN-FG001-00184-00188,In Transit 5 No of BLDC Motor 1.5 kW.
185,185,185,100,BLDC Motor 1.5 kW,No,79,1,22662.5,22662.5,FG-FG001-2512-0185,SN-FG001-00185,In Transit 1 No of BLDC Motor 1.5 kW.
186,186,188,101,PMSM Motor 3 kW,No,16,1,45260,45260,FG-FG002-2512-0186,SN-FG002-00186,In Transit 1 No of PMSM Motor 3 kW.
187,187,189,102,PMSM Motor 7.5 kW,No,20,2,102910,205820,FG-FG003-2512-0187,SN-FG003-00187-00188,In Transit 2 No of PMSM Motor 7.5 kW.
188,188,194,102,PMSM Motor 7.5 kW,No,20,3,104140,312420,FG-FG003-2512-0188,SN-FG003-00188-00190,In Transit 3 No of PMSM Motor 7.5 kW.
189,189,196,101,PMSM Motor 3 kW,No,14,4,43070,172280,FG-FG002-2512-0189,SN-FG002-00189-00192,In Transit 4 No of PMSM Motor 3 kW.
190,190,197,101,PMSM Motor 3 kW,No,26,5,43617.5,218087.5,FG-FG002-2512-0190,SN-FG002-00190-00194,In Transit 5 No of PMSM Motor 3 kW.
191,191,198,101,PMSM Motor 3 kW,No,21,6,44165,264990,FG-FG002-2512-0191,SN-FG002-00191-00196,In Transit 6 No of PMSM Motor 3 kW.
192,192,202,101,PMSM Motor 3 kW,No,29,1,44712.5,44712.5,FG-FG002-2512-0192,SN-FG002-00192,In Transit 1 No of PMSM Motor 3 kW.
193,193,203,102,PMSM Motor 7.5 kW,No,7,2,101680,203360,FG-FG003-2512-0193,SN-FG003-00193-00194,In Transit 2 No of PMSM Motor 7.5 kW.
194,194,205,101,PMSM Motor 3 kW,No,28,3,45807.5,137422.5,FG-FG002-2512-0194,SN-FG002-00194-00196,In Transit 3 No of PMSM Motor 3 kW.
195,195,208,101,PMSM Motor 3 kW,No,24,4,46355,185420,FG-FG002-2512-0195,SN-FG002-00195-00198,In Transit 4 No of PMSM Motor 3 kW.
196,196,209,102,PMSM Motor 7.5 kW,No,13,5,96760,483800,FG-FG003-2601-0196,SN-FG003-00196-00200,In Transit 5 No of PMSM Motor 7.5 kW.
197,197,210,101,PMSM Motor 3 kW,No,10,6,43617.5,261705,FG-FG002-2601-0197,SN-FG002-00197-00202,In Transit 6 No of PMSM Motor 3 kW.
198,198,211,101,PMSM Motor 3 kW,No,26,1,44165,44165,FG-FG002-2601-0198,SN-FG002-00198,In Transit 1 No of PMSM Motor 3 kW.
199,199,213,102,PMSM Motor 7.5 kW,No,7,2,100450,200900,FG-FG003-2601-0199,SN-FG003-00199-00200,In Transit 2 No of PMSM Motor 7.5 kW.
200,200,216,101,PMSM Motor 3 kW,No,11,3,45260,135780,FG-FG002-2601-0200,SN-FG002-00200-00202,In Transit 3 No of PMSM Motor 3 kW.
201,201,217,102,PMSM Motor 7.5 kW,No,15,4,102910,411640,FG-FG003-2601-0201,SN-FG003-00201-00204,In Transit 4 No of PMSM Motor 7.5 kW.
202,202,218,101,PMSM Motor 3 kW,No,27,5,46355,231775,FG-FG002-2601-0202,SN-FG002-00202-00206,In Transit 5 No of PMSM Motor 3 kW.
203,203,220,101,PMSM Motor 3 kW,No,16,6,43070,258420,FG-FG002-2601-0203,SN-FG002-00203-00208,In Transit 6 No of PMSM Motor 3 kW.
204,204,221,101,PMSM Motor 3 kW,No,14,1,43617.5,43617.5,FG-FG002-2601-0204,SN-FG002-00204,In Transit 1 No of PMSM Motor 3 kW.
205,205,222,102,PMSM Motor 7.5 kW,No,19,2,99220,198440,FG-FG003-2601-0205,SN-FG003-00205-00206,In Transit 2 No of PMSM Motor 7.5 kW.
206,206,225,102,PMSM Motor 7.5 kW,No,6,3,100450,301350,FG-FG003-2601-0206,SN-FG003-00206-00208,In Transit 3 No of PMSM Motor 7.5 kW.
207,207,229,102,PMSM Motor 7.5 kW,No,10,4,101680,406720,FG-FG003-2601-0207,SN-FG003-00207-00210,In Transit 4 No of PMSM Motor 7.5 kW.
208,208,231,101,PMSM Motor 3 kW,No,14,5,45807.5,229037.5,FG-FG002-2601-0208,SN-FG002-00208-00212,In Transit 5 No of PMSM Motor 3 kW.
209,209,232,101,PMSM Motor 3 kW,No,33,6,46355,278130,FG-FG002-2601-0209,SN-FG002-00209-00214,In Transit 6 No of PMSM Motor 3 kW.
210,210,239,102,PMSM Motor 7.5 kW,No,19,1,96760,96760,FG-FG003-2602-0210,SN-FG003-00210,In Transit 1 No of PMSM Motor 7.5 kW.
211,211,240,101,PMSM Motor 3 kW,No,17,2,43617.5,87235,FG-FG002-2602-0211,SN-FG002-00211-00212,In Transit 2 No of PMSM Motor 3 kW.
212,212,241,101,PMSM Motor 3 kW,No,15,3,44165,132495,FG-FG002-2602-0212,SN-FG002-00212-00214,In Transit 3 No of PMSM Motor 3 kW.
213,213,243,102,PMSM Motor 7.5 kW,No,6,4,100450,401800,FG-FG003-2602-0213,SN-FG003-00213-00216,In Transit 4 No of PMSM Motor 7.5 kW.
214,214,247,101,PMSM Motor 3 kW,No,31,5,45260,226300,FG-FG002-2602-0214,SN-FG002-00214-00218,In Transit 5 No of PMSM Motor 3 kW.
215,215,251,101,PMSM Motor 3 kW,No,13,6,45807.5,274845,FG-FG002-2602-0215,SN-FG002-00215-00220,In Transit 6 No of PMSM Motor 3 kW.
216,216,253,101,PMSM Motor 3 kW,No,14,1,46355,46355,FG-FG002-2602-0216,SN-FG002-00216,In Transit 1 No of PMSM Motor 3 kW.
217,217,256,102,PMSM Motor 7.5 kW,No,11,2,96760,193520,FG-FG003-2602-0217,SN-FG003-00217-00218,In Transit 2 No of PMSM Motor 7.5 kW.
218,218,258,101,PMSM Motor 3 kW,No,12,3,43617.5,130852.5,FG-FG002-2602-0218,SN-FG002-00218-00220,In Transit 3 No of PMSM Motor 3 kW.
219,219,261,101,PMSM Motor 3 kW,No,17,4,44165,176660,FG-FG002-2602-0219,SN-FG002-00219-00222,In Transit 4 No of PMSM Motor 3 kW.
220,220,262,101,PMSM Motor 3 kW,No,22,5,44712.5,223562.5,FG-FG002-2602-0220,SN-FG002-00220-00224,In Transit 5 No of PMSM Motor 3 kW.
221,221,269,101,PMSM Motor 3 kW,No,13,6,45260,271560,FG-FG002-2602-0221,SN-FG002-00221-00226,In Transit 6 No of PMSM Motor 3 kW.
222,222,270,101,PMSM Motor 3 kW,No,8,1,45807.5,45807.5,FG-FG002-2602-0222,SN-FG002-00222,In Transit 1 No of PMSM Motor 3 kW.
223,223,274,101,PMSM Motor 3 kW,No,24,2,46355,92710,FG-FG002-2603-0223,SN-FG002-00223-00224,In Transit 2 No of PMSM Motor 3 kW.
224,224,276,101,PMSM Motor 3 kW,No,31,3,43070,129210,FG-FG002-2603-0224,SN-FG002-00224-00226,In Transit 3 No of PMSM Motor 3 kW.
225,225,279,101,PMSM Motor 3 kW,No,35,4,43617.5,174470,FG-FG002-2603-0225,SN-FG002-00225-00228,In Transit 4 No of PMSM Motor 3 kW.
226,226,283,101,PMSM Motor 3 kW,No,10,3,44165,132495,FG-FG002-2603-0226,SN-FG002-00226-00228,Partially Delivered 3 No of PMSM Motor 3 kW.
227,227,286,101,PMSM Motor 3 kW,No,16,4,44712.5,178850,FG-FG002-2603-0227,SN-FG002-00227-00230,Partially Delivered 4 No of PMSM Motor 3 kW.
228,228,289,101,PMSM Motor 3 kW,No,6,1,45260,45260,FG-FG002-2603-0228,SN-FG002-00228,Partially Delivered 1 No of PMSM Motor 3 kW.
229,229,290,101,PMSM Motor 3 kW,No,5,5,45807.5,229037.5,FG-FG002-2603-0229,SN-FG002-00229-00233,Partially Delivered 5 No of PMSM Motor 3 kW.
230,230,293,101,PMSM Motor 3 kW,No,18,7,46355,324485,FG-FG002-2603-0230,SN-FG002-00230-00236,Partially Delivered 7 No of PMSM Motor 3 kW.
231,231,294,101,PMSM Motor 3 kW,No,15,8,43070,344560,FG-FG002-2603-0231,SN-FG002-00231-00238,Partially Delivered 8 No of PMSM Motor 3 kW.
232,232,299,102,PMSM Motor 7.5 kW,No,17,1,97990,97990,FG-FG003-2603-0232,SN-FG003-00232,Partially Delivered 1 No of PMSM Motor 7.5 kW.
233,233,302,101,PMSM Motor 3 kW,No,20,2,44165,88330,FG-FG002-2604-0233,SN-FG002-00233-00234,Partially Delivered 2 No of PMSM Motor 3 kW.
234,234,1,101,PMSM Motor 3 kW,No,26,3,44712.5,134137.5,FG-FG002-2504-0234,SN-FG002-00234-00236,Partially Delivered 3 No of PMSM Motor 3 kW.
235,235,3,102,PMSM Motor 7.5 kW,No,15,4,101680,406720,FG-FG003-2505-0235,SN-FG003-00235-00238,Partially Delivered 4 No of PMSM Motor 7.5 kW.
236,236,7,101,PMSM Motor 3 kW,No,19,5,45807.5,229037.5,FG-FG002-2504-0236,SN-FG002-00236-00240,Partially Delivered 5 No of PMSM Motor 3 kW.
237,237,9,102,PMSM Motor 7.5 kW,No,9,3,104140,312420,FG-FG003-2505-0237,SN-FG003-00237-00239,Partially Delivered 3 No of PMSM Motor 7.5 kW.
238,238,13,102,PMSM Motor 7.5 kW,No,16,7,96760,677320,FG-FG003-2505-0238,SN-FG003-00238-00244,Partially Delivered 7 No of PMSM Motor 7.5 kW.
239,239,17,101,PMSM Motor 3 kW,No,24,8,43617.5,348940,FG-FG002-2505-0239,SN-FG002-00239-00246,Partially Delivered 8 No of PMSM Motor 3 kW.
240,240,22,101,PMSM Motor 3 kW,No,22,1,44165,44165,FG-FG002-2505-0240,SN-FG002-00240,Partially Delivered 1 No of PMSM Motor 3 kW.
241,241,26,101,PMSM Motor 3 kW,No,29,1,44712.5,44712.5,FG-FG002-2505-0241,SN-FG002-00241,Partially Delivered 1 No of PMSM Motor 3 kW.
242,242,35,102,PMSM Motor 7.5 kW,No,17,3,101680,305040,FG-FG003-2506-0242,SN-FG003-00242-00244,Partially Delivered 3 No of PMSM Motor 7.5 kW.
243,248,93,102,PMSM Motor 7.5 kW,No,18,3,100450,301350,FG-FG003-2509-0248,SN-FG003-00248-00250,Returned 3 No of PMSM Motor 7.5 kW.
244,249,100,102,PMSM Motor 7.5 kW,No,6,1,101680,101680,FG-FG003-2509-0249,SN-FG003-00249,Returned 1 No of PMSM Motor 7.5 kW.
245,250,112,102,PMSM Motor 7.5 kW,No,17,5,102910,514550,FG-FG003-2509-0250,SN-FG003-00250-00254,Returned 5 No of PMSM Motor 7.5 kW.
