bom_id,bom_code,parent_item_id,component_item_id,component_name,component_category,specification,quantity_per_unit,uom,scrap_factor_percent,production_stage,effective_from,effective_to,status,remarks,created_at,updated_at
101,BOM-FG003-101,102,65,Hex Bolt,Fasteners,"M8 × 35 mm, Grade 10.9",12.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
102,BOM-FG003-102,102,68,Hex Nut,Fasteners,"M8, Grade 10",12.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
103,BOM-FG003-103,102,71,Flat Washer,Fasteners,M8 SS304,12.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
104,BOM-FG003-104,102,74,Spring Washer,Fasteners,M8 Spring Steel,12.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
105,BOM-FG003-105,102,77,Dowel Pin,Fasteners,Ø8 × 30 mm,2.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
106,BOM-FG003-106,102,81,Epoxy Adhesive,Consumables,High Strength,80.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
107,BOM-FG003-107,102,82,Thread Locker,Consumables,High Strength,10.000,ml,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
108,BOM-FG003-108,102,84,Cleaning Solvent,Consumables,IPA,250.000,ml,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
109,BOM-FG003-109,102,85,Solder Wire,Consumables,Sn60/Pb40,20.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
110,BOM-FG003-110,102,86,Flux,Consumables,No-Clean,10.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
111,BOM-FG003-111,102,87,Silicone Sealant,Consumables,RTV,20.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
112,BOM-FG003-112,102,94,Aluminium Nameplate,Identification & Documentation,Laser Engraved,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
113,BOM-FG003-113,102,95,QR Code Label,Identification & Documentation,Polyester,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
114,BOM-FG003-114,102,96,Rating Sticker,Identification & Documentation,Polyester,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
115,BOM-FG003-115,102,97,Inspection Sticker,Identification & Documentation,QC Approved,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
116,BOM-FG003-116,102,88,Corrugated Carton Box,Packaging Materials,Heavy Duty 7-Ply,1.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
117,BOM-FG003-117,102,89,Foam Insert,Packaging Materials,High Density EPE,2.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
118,BOM-FG003-118,102,90,Bubble Wrap,Packaging Materials,Heavy Duty,2.000,sheets,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
119,BOM-FG003-119,102,91,Poly Bag,Packaging Materials,Heavy Gauge LDPE,1.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
120,BOM-FG003-120,102,92,Packing Tape,Packaging Materials,"BOPP, 48 mm",1.500,m,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
121,BOM-FG003-121,102,93,Silica Gel Pouch,Packaging Materials,30 g,2.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
122,BOM-FG003-122,102,98,User Manual,Identification & Documentation,A5 Printed,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
123,BOM-FG003-123,102,99,Warranty Card,Identification & Documentation,Printed,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
124,BOM-FG001-124,100,103,Finished Stator 1.5kW,Semi Finished Goods,Semi-finished stator assembly for 1.5kW EV motor,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Final assembly consumes finished stator SFG.,2025-01-01 09:00:00,2026-07-08 09:00:00
125,BOM-FG001-125,100,106,Finished Rotor 1.5kW,Semi Finished Goods,Semi-finished rotor assembly for 1.5kW EV motor,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Final assembly consumes finished rotor SFG.,2025-01-01 09:00:00,2026-07-08 09:00:00
126,BOM-FG002-126,101,104,Finished Stator 3kW,Semi Finished Goods,Semi-finished stator assembly for 3kW EV motor,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Final assembly consumes finished stator SFG.,2025-01-01 09:00:00,2026-07-08 09:00:00
127,BOM-FG002-127,101,107,Finished Rotor 3kW,Semi Finished Goods,Semi-finished rotor assembly for 3kW EV motor,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Final assembly consumes finished rotor SFG.,2025-01-01 09:00:00,2026-07-08 09:00:00
128,BOM-FG003-128,102,105,Finished Stator 7.5kW,Semi Finished Goods,Semi-finished stator assembly for 7.5kW EV motor,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Final assembly consumes finished stator SFG.,2025-01-01 09:00:00,2026-07-08 09:00:00
129,BOM-FG003-129,102,108,Finished Rotor 7.5kW,Semi Finished Goods,Semi-finished rotor assembly for 7.5kW EV motor,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Final assembly consumes finished rotor SFG.,2025-01-01 09:00:00,2026-07-08 09:00:00
130,BOM-SFG-ST15-130,103,1,Stator Core 1.5 kW,Core Components,"CRNGO Steel M250-35A, 0.35 mm",1.000,No,0.50,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
131,BOM-SFG-RT15-131,106,4,Rotor Core 1.5 kW,Core Components,Electrical Steel Lamination Stack,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
132,BOM-SFG-RT15-132,106,7,NdFeB Magnet N42,Magnetic Components,Arc Segment Magnet,8.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
133,BOM-SFG-RT15-133,106,10,Motor Shaft EN8,Mechanical Components,Ø20 × 180 mm,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
134,BOM-SFG-RT15-134,106,13,Rotor Sleeve SS 0.5 mm,Mechanical Components,Stainless Steel Sleeve,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
135,BOM-SFG-RT15-135,106,23,Bearing 6202-2RS,Bearings,Deep Groove Bearing,2.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
136,BOM-SFG-RT15-136,106,21,Bearing Spacer MS,Mechanical Components,Mild Steel,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
137,BOM-SFG-ST15-137,103,29,Copper Wire 1.00 mm,Electrical Components,Class H Enameled Copper,1.800,kg,2.00,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
138,BOM-SFG-ST15-138,103,55,Slot Liner 0.25 mm,Insulation Materials,Nomex DMD,24.000,No,1.50,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
139,BOM-SFG-ST15-139,103,59,Slot Wedge,Insulation Materials,FRP,24.000,No,1.50,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
140,BOM-SFG-ST15-140,103,80,Insulating Varnish,Consumables,Class H,100.000,ml,3.00,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
141,BOM-SFG-RT15-141,106,83,Bearing Grease,Consumables,Lithium EP2,20.000,g,3.00,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
142,BOM-SFG-ST30-142,104,2,Stator Core 3 kW,Core Components,"CRNGO Steel M250-35A, 0.35 mm",1.000,No,0.50,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
143,BOM-SFG-RT30-143,107,5,Rotor Core 3 kW,Core Components,Electrical Steel Lamination Stack,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
144,BOM-SFG-RT30-144,107,8,NdFeB Magnet N45,Magnetic Components,Arc Segment Magnet,10.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
145,BOM-SFG-RT30-145,107,11,Motor Shaft EN19,Mechanical Components,Ø25 × 220 mm,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
146,BOM-SFG-RT30-146,107,14,Rotor Sleeve SS 0.6 mm,Mechanical Components,Stainless Steel Sleeve,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
147,BOM-SFG-RT30-147,107,24,Bearing 6205-2RS,Bearings,Deep Groove Bearing,2.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
148,BOM-SFG-RT30-148,107,21,Bearing Spacer MS,Mechanical Components,Mild Steel,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
149,BOM-SFG-ST30-149,104,30,Copper Wire 1.20 mm,Electrical Components,Class H Enameled Copper,3.200,kg,2.00,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
150,BOM-SFG-ST30-150,104,56,Slot Liner 0.30 mm,Insulation Materials,Nomex DMD,36.000,No,1.50,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
151,BOM-SFG-ST30-151,104,59,Slot Wedge,Insulation Materials,FRP,36.000,No,1.50,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
152,BOM-SFG-ST30-152,104,80,Insulating Varnish,Consumables,Class H,180.000,ml,3.00,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
153,BOM-SFG-RT30-153,107,83,Bearing Grease,Consumables,Lithium EP2,30.000,g,3.00,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
154,BOM-SFG-ST75-154,105,2,Stator Core 3 kW,Core Components,"CRNGO Steel M250-35A, 0.35 mm",1.000,No,0.50,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
155,BOM-SFG-RT75-155,108,6,Rotor Core 7.5 kW,Core Components,Electrical Steel Lamination Stack,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
156,BOM-SFG-RT75-156,108,9,NdFeB Magnet N48,Magnetic Components,Arc Segment Magnet,12.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
157,BOM-SFG-RT75-157,108,12,Motor Shaft EN24,Mechanical Components,Ø35 × 300 mm,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
158,BOM-SFG-RT75-158,108,15,Rotor Sleeve SS 0.8 mm,Mechanical Components,Stainless Steel Sleeve,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
159,BOM-SFG-RT75-159,108,25,Bearing 6307-2RS,Bearings,Deep Groove Bearing,2.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
160,BOM-SFG-RT75-160,108,21,Bearing Spacer MS,Mechanical Components,Mild Steel,1.000,No,0.50,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
161,BOM-SFG-ST75-161,105,31,Copper Wire 1.60 mm,Electrical Components,Class H Enameled Copper,6.500,kg,2.00,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
162,BOM-SFG-ST75-162,105,57,Slot Liner 0.35 mm,Insulation Materials,Nomex DMD,48.000,No,1.50,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
163,BOM-SFG-ST75-163,105,59,Slot Wedge,Insulation Materials,FRP,48.000,No,1.50,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
164,BOM-SFG-ST75-164,105,80,Insulating Varnish,Consumables,Class H,300.000,ml,3.00,Stator Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
165,BOM-SFG-RT75-165,108,83,Bearing Grease,Consumables,Lithium EP2,50.000,g,3.00,Rotor Assembly,2025-01-01,,Active,SFG BOM split from finished motor BOM.,2025-01-01 09:00:00,2026-07-08 09:00:00
