grn_id,grn_number,po_id,vendor_id,received_date,invoice_number,invoice_date,delivery_challan_number,received_by,warehouse_location,inspection_required,grn_status,remarks,created_at,updated_at
119,GRN202509220119,50,29,2025-09-22,INV-202509070050-02,2025-09-20,DC-202509070050-02,3,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202509070050,2025-09-22 09:55:00,2025-09-22 10:55:00
120,GRN202509150120,190,28,2025-09-15,INV-202509070190-01,2025-09-13,DC-202509070190-01,3,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Fasteners against PO202509070190,2025-09-15 09:00:00,2025-09-15 10:00:00
121,GRN202509170121,190,28,2025-09-17,INV-202509070190-02,2025-09-15,DC-202509070190-02,6,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202509070190,2025-09-17 09:05:00,2025-09-17 10:05:00
122,GRN202509260122,51,33,2025-09-26,INV-202509090051-01,2025-09-23,DC-202509090051-01,6,Packaging Store,No,Accepted,Accepted receipt for Packaging Materials against PO202509090051,2025-09-26 09:10:00,2025-09-26 10:10:00
123,GRN202509200123,191,32,2025-09-20,INV-202509090191-01,2025-09-17,DC-202509090191-01,7,Packaging Store,Yes,Accepted,Accepted receipt for Packaging Materials against PO202509090191,2025-09-20 09:15:00,2025-09-20 10:15:00
124,GRN202509290124,283,2,2025-09-29,INV-202509100283-01,2025-09-26,DC-202509100283-01,8,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electrical Components against PO202509100283,2025-09-29 09:20:00,2025-09-29 10:20:00
125,GRN202510090125,52,4,2025-10-09,INV-202509110052-01,2025-10-09,DC-202509110052-01,9,Packaging Store,No,Closed,Closed receipt for Identification & Documentation against PO202509110052,2025-10-09 09:25:00,2025-10-09 10:25:00
126,GRN202510110126,52,4,2025-10-11,INV-202509110052-02,2025-10-11,DC-202509110052-02,11,Packaging Store,Yes,Accepted,Accepted receipt for Identification & Documentation against PO202509110052,2025-10-11 09:30:00,2025-10-11 10:30:00
127,GRN202510010127,196,21,2025-10-01,INV-202509140196-01,2025-10-01,DC-202509140196-01,11,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202509140196,2025-10-01 09:35:00,2025-10-01 10:35:00
128,GRN202510030128,196,21,2025-10-03,INV-202509140196-02,2025-10-03,DC-202509140196-02,13,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202509140196,2025-10-03 09:40:00,2025-10-03 10:40:00
129,GRN202510130129,54,13,2025-10-13,INV-202509150054-01,2025-10-11,DC-202509150054-01,13,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Mechanical Components against PO202509150054,2025-10-13 09:45:00,2025-10-13 10:45:00
130,GRN202510100130,54,13,2025-10-10,INV-202509150054-02,2025-10-08,DC-202509150054-02,4,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Mechanical Components against PO202509150054,2025-10-10 09:50:00,2025-10-10 10:50:00
131,GRN202510090131,194,13,2025-10-09,INV-202509150194-01,2025-10-07,DC-202509150194-01,4,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Mechanical Components against PO202509150194,2025-10-09 09:55:00,2025-10-09 10:55:00
132,GRN202510060132,194,13,2025-10-06,INV-202509150194-02,2025-10-04,DC-202509150194-02,7,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Mechanical Components against PO202509150194,2025-10-06 09:00:00,2025-10-06 10:00:00
133,GRN202510020133,57,17,2025-10-02,INV-202509160057-01,2025-10-01,DC-202509160057-01,7,Packaging Store,No,Received,Received receipt for Packaging Materials against PO202509160057,2025-10-02 09:05:00,2025-10-02 10:05:00
134,GRN202510060134,197,16,2025-10-06,INV-202509160197-01,2025-10-05,DC-202509160197-01,8,Packaging Store,No,Received,Received receipt for Packaging Materials against PO202509160197,2025-10-06 09:10:00,2025-10-06 10:10:00
135,GRN202509300135,55,1,2025-09-30,INV-202509180055-01,2025-09-27,DC-202509180055-01,9,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Sealing Components against PO202509180055,2025-09-30 09:15:00,2025-09-30 10:15:00
136,GRN202510100136,58,25,2025-10-10,INV-202509180058-01,2025-10-08,DC-202509180058-01,10,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202509180058,2025-10-10 09:20:00,2025-10-10 10:20:00
137,GRN202510120137,58,25,2025-10-12,INV-202509180058-02,2025-10-10,DC-202509180058-02,12,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202509180058,2025-10-12 09:25:00,2025-10-12 10:25:00
138,GRN202510080138,195,3,2025-10-08,INV-202509180195-01,2025-10-05,DC-202509180195-01,12,Mechanical Store,Yes,Accepted,Accepted receipt for Sealing Components against PO202509180195,2025-10-08 09:30:00,2025-10-08 10:30:00
139,GRN202510190139,198,27,2025-10-19,INV-202509180198-01,2025-10-17,DC-202509180198-01,13,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202509180198,2025-10-19 09:35:00,2025-10-19 10:35:00
140,GRN202510210140,198,27,2025-10-21,INV-202509180198-02,2025-10-19,DC-202509180198-02,4,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202509180198,2025-10-21 09:40:00,2025-10-21 10:40:00
141,GRN202510130141,61,14,2025-10-13,INV-202509190061-01,2025-10-12,DC-202509190061-01,4,Raw Material Store,No,Received,Received receipt for Finished Goods against PO202509190061,2025-10-13 09:45:00,2025-10-13 10:45:00
142,GRN202510070142,201,10,2025-10-07,INV-202509190201-01,2025-10-06,DC-202509190201-01,6,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Finished Goods against PO202509190201,2025-10-07 09:50:00,2025-10-07 10:50:00
143,GRN202510070143,59,29,2025-10-07,INV-202509200059-01,2025-10-04,DC-202509200059-01,7,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202509200059,2025-10-07 09:55:00,2025-10-07 10:55:00
144,GRN202510170144,62,5,2025-10-17,INV-202509200062-01,2025-10-15,DC-202509200062-01,8,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Core Components against PO202509200062,2025-10-17 09:00:00,2025-10-17 10:00:00
145,GRN202510190145,62,5,2025-10-19,INV-202509200062-02,2025-10-17,DC-202509200062-02,10,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Core Components against PO202509200062,2025-10-19 09:05:00,2025-10-19 10:05:00
146,GRN202510020146,199,28,2025-10-02,INV-202509200199-01,2025-09-29,DC-202509200199-01,10,Mechanical Store,Yes,Accepted,Accepted receipt for Fasteners against PO202509200199,2025-10-02 09:10:00,2025-10-02 10:10:00
147,GRN202510150147,202,4,2025-10-15,INV-202509200202-01,2025-10-13,DC-202509200202-01,11,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Core Components against PO202509200202,2025-10-15 09:15:00,2025-10-15 10:15:00
148,GRN202510170148,202,4,2025-10-17,INV-202509200202-02,2025-10-15,DC-202509200202-02,13,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Core Components against PO202509200202,2025-10-17 09:20:00,2025-10-17 10:20:00
149,GRN202510160149,284,5,2025-10-16,INV-202509210284-01,2025-10-16,DC-202509210284-01,13,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Core Components against PO202509210284,2025-10-16 09:25:00,2025-10-16 10:25:00
150,GRN202510130150,284,5,2025-10-13,INV-202509210284-02,2025-10-13,DC-202509210284-02,4,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Core Components against PO202509210284,2025-10-13 09:30:00,2025-10-13 10:30:00
151,GRN202510090151,60,35,2025-10-09,INV-202509220060-01,2025-10-09,DC-202509220060-01,4,Consumables Store,No,Accepted,Accepted receipt for Consumables against PO202509220060,2025-10-09 09:35:00,2025-10-09 10:35:00
152,GRN202510110152,60,35,2025-10-11,INV-202509220060-02,2025-10-11,DC-202509220060-02,7,Consumables Store,No,Accepted,Accepted receipt for Consumables against PO202509220060,2025-10-11 09:40:00,2025-10-11 10:40:00
153,GRN202510160153,63,30,2025-10-16,INV-202509230063-01,2025-10-13,DC-202509230063-01,7,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202509230063,2025-10-16 09:45:00,2025-10-16 10:45:00
154,GRN202510090154,203,29,2025-10-09,INV-202509230203-01,2025-10-06,DC-202509230203-01,8,Mechanical Store,Yes,Accepted,Accepted receipt for Fasteners against PO202509230203,2025-10-09 09:50:00,2025-10-09 10:50:00
155,GRN202510050155,66,19,2025-10-05,INV-202509240066-01,2025-10-03,DC-202509240066-01,9,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202509240066,2025-10-05 09:55:00,2025-10-05 10:55:00
156,GRN202510070156,66,19,2025-10-07,INV-202509240066-02,2025-10-05,DC-202509240066-02,11,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electronic Components against PO202509240066,2025-10-07 09:00:00,2025-10-07 10:00:00
157,GRN202510100157,206,19,2025-10-10,INV-202509240206-01,2025-10-08,DC-202509240206-01,11,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202509240206,2025-10-10 09:05:00,2025-10-10 10:05:00
158,GRN202510120158,206,19,2025-10-12,INV-202509240206-02,2025-10-10,DC-202509240206-02,13,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202509240206,2025-10-12 09:10:00,2025-10-12 10:10:00
159,GRN202510170159,67,25,2025-10-17,INV-202509260067-01,2025-10-14,DC-202509260067-01,13,Electrical Store,Yes,Accepted,Accepted receipt for Insulation Materials against PO202509260067,2025-10-17 09:15:00,2025-10-17 10:15:00
160,GRN202510190160,204,24,2025-10-19,INV-202509260204-01,2025-10-19,DC-202509260204-01,3,Mechanical Store,Yes,Closed,Closed receipt for Bearings against PO202509260204,2025-10-19 09:20:00,2025-10-19 10:20:00
161,GRN202510160161,204,24,2025-10-16,INV-202509260204-02,2025-10-16,DC-202509260204-02,6,Mechanical Store,Yes,Accepted,Accepted receipt for Bearings against PO202509260204,2025-10-16 09:25:00,2025-10-16 10:25:00
162,GRN202510260162,207,27,2025-10-26,INV-202509260207-01,2025-10-23,DC-202509260207-01,6,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Insulation Materials against PO202509260207,2025-10-26 09:30:00,2025-10-26 10:30:00
163,GRN202510210163,68,26,2025-10-21,INV-202509290068-01,2025-10-21,DC-202509290068-01,7,Electrical Store,Yes,Accepted,Accepted receipt for Insulation Materials against PO202509290068,2025-10-21 09:35:00,2025-10-21 10:35:00
164,GRN202510230164,68,26,2025-10-23,INV-202509290068-02,2025-10-23,DC-202509290068-02,9,Electrical Store,Yes,Accepted,Accepted receipt for Insulation Materials against PO202509290068,2025-10-23 09:40:00,2025-10-23 10:40:00
165,GRN202510230165,69,30,2025-10-23,INV-202510020069-01,2025-10-22,DC-202510020069-01,9,QA Hold Area,Yes,Rejected,Rejected receipt for Fasteners against PO202510020069,2025-10-23 09:45:00,2025-10-23 10:45:00
166,GRN202510160166,209,29,2025-10-16,INV-202510020209-01,2025-10-15,DC-202510020209-01,10,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Fasteners against PO202510020209,2025-10-16 09:50:00,2025-10-16 10:50:00
167,GRN202510240167,285,8,2025-10-24,INV-202510020285-01,2025-10-23,DC-202510020285-01,11,Electrical Store,Yes,Accepted,Accepted receipt for Magnetic Components against PO202510020285,2025-10-24 09:55:00,2025-10-24 10:55:00
168,GRN202510200168,71,29,2025-10-20,INV-202510030071-01,2025-10-17,DC-202510030071-01,12,Mechanical Store,Yes,Accepted,Accepted receipt for Fasteners against PO202510030071,2025-10-20 09:00:00,2025-10-20 10:00:00
169,GRN202510150169,211,28,2025-10-15,INV-202510030211-01,2025-10-12,DC-202510030211-01,13,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202510030211,2025-10-15 09:05:00,2025-10-15 10:05:00
170,GRN202510220170,212,11,2025-10-22,INV-202510040212-01,2025-10-22,DC-202510040212-01,3,Mechanical Store,Yes,Closed,Closed receipt for Mechanical Components against PO202510040212,2025-10-22 09:10:00,2025-10-22 10:10:00
171,GRN202510240171,212,11,2025-10-24,INV-202510040212-02,2025-10-24,DC-202510040212-02,6,Mechanical Store,Yes,Accepted,Accepted receipt for Mechanical Components against PO202510040212,2025-10-24 09:15:00,2025-10-24 10:15:00
172,GRN202510240172,70,35,2025-10-24,INV-202510060070-01,2025-10-22,DC-202510060070-01,6,Packaging Store,No,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202510060070,2025-10-24 09:20:00,2025-10-24 10:20:00
173,GRN202510260173,70,35,2025-10-26,INV-202510060070-02,2025-10-24,DC-202510060070-02,8,Packaging Store,No,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202510060070,2025-10-26 09:25:00,2025-10-26 10:25:00
174,GRN202510200174,210,35,2025-10-20,INV-202510060210-01,2025-10-18,DC-202510060210-01,8,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Packaging Materials against PO202510060210,2025-10-20 09:30:00,2025-10-20 10:30:00
175,GRN202510220175,210,35,2025-10-22,INV-202510060210-02,2025-10-20,DC-202510060210-02,10,Packaging Store,No,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202510060210,2025-10-22 09:35:00,2025-10-22 10:35:00
176,GRN202510300176,213,12,2025-10-30,INV-202510080213-01,2025-10-29,DC-202510080213-01,10,QA Hold Area,Yes,Rejected,Rejected receipt for Mechanical Components against PO202510080213,2025-10-30 09:40:00,2025-10-30 10:40:00
177,GRN202510310177,74,2,2025-10-31,INV-202510120074-01,2025-10-29,DC-202510120074-01,11,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202510120074,2025-10-31 09:45:00,2025-10-31 10:45:00
178,GRN202510280178,74,2,2025-10-28,INV-202510120074-02,2025-10-26,DC-202510120074-02,13,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202510120074,2025-10-28 09:50:00,2025-10-28 10:50:00
179,GRN202511050179,214,22,2025-11-05,INV-202510120214-01,2025-11-03,DC-202510120214-01,13,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202510120214,2025-11-05 09:55:00,2025-11-05 10:55:00
180,GRN202511020180,214,22,2025-11-02,INV-202510120214-02,2025-10-31,DC-202510120214-02,4,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electrical Components against PO202510120214,2025-11-02 09:00:00,2025-11-02 10:00:00
181,GRN202510290181,76,21,2025-10-29,INV-202510150076-01,2025-10-29,DC-202510150076-01,4,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202510150076,2025-10-29 09:05:00,2025-10-29 10:05:00
182,GRN202510310182,76,21,2025-10-31,INV-202510150076-02,2025-10-31,DC-202510150076-02,7,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202510150076,2025-10-31 09:10:00,2025-10-31 10:10:00
183,GRN202511090183,77,8,2025-11-09,INV-202510160077-01,2025-11-08,DC-202510160077-01,7,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Magnetic Components against PO202510160077,2025-11-09 09:15:00,2025-11-09 10:15:00
184,GRN202510280184,75,20,2025-10-28,INV-202510170075-01,2025-10-25,DC-202510170075-01,8,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202510170075,2025-10-28 09:20:00,2025-10-28 10:20:00
185,GRN202511020185,215,20,2025-11-02,INV-202510170215-01,2025-10-30,DC-202510170215-01,9,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202510170215,2025-11-02 09:25:00,2025-11-02 10:25:00
186,GRN202511070186,78,30,2025-11-07,INV-202510180078-01,2025-11-05,DC-202510180078-01,10,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Fasteners against PO202510180078,2025-11-07 09:30:00,2025-11-07 10:30:00
187,GRN202511090187,78,30,2025-11-09,INV-202510180078-02,2025-11-07,DC-202510180078-02,12,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202510180078,2025-11-09 09:35:00,2025-11-09 10:35:00
188,GRN202510310188,218,29,2025-10-31,INV-202510180218-01,2025-10-29,DC-202510180218-01,12,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202510180218,2025-10-31 09:40:00,2025-10-31 10:40:00
189,GRN202511020189,218,29,2025-11-02,INV-202510180218-02,2025-10-31,DC-202510180218-02,3,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202510180218,2025-11-02 09:45:00,2025-11-02 10:45:00
190,GRN202511270190,81,9,2025-11-27,INV-202510210081-01,2025-11-26,DC-202510210081-01,3,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Magnetic Components against PO202510210081,2025-11-27 09:50:00,2025-11-27 10:50:00
191,GRN202511130191,221,8,2025-11-13,INV-202510210221-01,2025-11-12,DC-202510210221-01,4,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Magnetic Components against PO202510210221,2025-11-13 09:55:00,2025-11-13 10:55:00
192,GRN202511130192,79,31,2025-11-13,INV-202510240079-01,2025-11-10,DC-202510240079-01,6,Consumables Store,Yes,Accepted,Accepted receipt for Consumables against PO202510240079,2025-11-13 09:00:00,2025-11-13 10:00:00
193,GRN202511100193,219,33,2025-11-10,INV-202510240219-01,2025-11-07,DC-202510240219-01,7,Consumables Store,No,Accepted,Accepted receipt for Consumables against PO202510240219,2025-11-10 09:05:00,2025-11-10 10:05:00
194,GRN202511180194,287,14,2025-11-18,INV-202510240287-01,2025-11-15,DC-202510240287-01,8,Consumables Store,No,Received,Received receipt for Consumables against PO202510240287,2025-11-18 09:10:00,2025-11-18 10:10:00
195,GRN202511040195,82,19,2025-11-04,INV-202510250082-01,2025-11-02,DC-202510250082-01,9,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202510250082,2025-11-04 09:15:00,2025-11-04 10:15:00
196,GRN202511060196,82,19,2025-11-06,INV-202510250082-02,2025-11-04,DC-202510250082-02,11,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202510250082,2025-11-06 09:20:00,2025-11-06 10:20:00
197,GRN202511090197,220,35,2025-11-09,INV-202510250220-01,2025-11-09,DC-202510250220-01,11,Packaging Store,No,Accepted,Accepted receipt for Identification & Documentation against PO202510250220,2025-11-09 09:25:00,2025-11-09 10:25:00
198,GRN202511110198,220,35,2025-11-11,INV-202510250220-02,2025-11-11,DC-202510250220-02,13,Packaging Store,Yes,Accepted,Accepted receipt for Identification & Documentation against PO202510250220,2025-11-11 09:30:00,2025-11-11 10:30:00
199,GRN202511090199,222,19,2025-11-09,INV-202510250222-01,2025-11-07,DC-202510250222-01,13,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202510250222,2025-11-09 09:35:00,2025-11-09 10:35:00
200,GRN202511110200,222,19,2025-11-11,INV-202510250222-02,2025-11-09,DC-202510250222-02,4,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202510250222,2025-11-11 09:40:00,2025-11-11 10:40:00
201,GRN202511090201,83,20,2025-11-09,INV-202510270083-01,2025-11-06,DC-202510270083-01,4,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202510270083,2025-11-09 09:45:00,2025-11-09 10:45:00
202,GRN202511140202,223,20,2025-11-14,INV-202510270223-01,2025-11-11,DC-202510270223-01,6,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202510270223,2025-11-14 09:50:00,2025-11-14 10:50:00
203,GRN202511110203,86,29,2025-11-11,INV-202510280086-01,2025-11-09,DC-202510280086-01,7,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202510280086,2025-11-11 09:55:00,2025-11-11 10:55:00
204,GRN202511130204,86,29,2025-11-13,INV-202510280086-02,2025-11-11,DC-202510280086-02,9,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Fasteners against PO202510280086,2025-11-13 09:00:00,2025-11-13 10:00:00
205,GRN202511060205,226,28,2025-11-06,INV-202510280226-01,2025-11-04,DC-202510280226-01,9,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202510280226,2025-11-06 09:05:00,2025-11-06 10:05:00
206,GRN202511080206,226,28,2025-11-08,INV-202510280226-02,2025-11-06,DC-202510280226-02,11,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202510280226,2025-11-08 09:10:00,2025-11-08 10:10:00
207,GRN202511140207,84,21,2025-11-14,INV-202510290084-01,2025-11-14,DC-202510290084-01,11,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202510290084,2025-11-14 09:15:00,2025-11-14 10:15:00
208,GRN202511110208,84,21,2025-11-11,INV-202510290084-02,2025-11-11,DC-202510290084-02,13,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202510290084,2025-11-11 09:20:00,2025-11-11 10:20:00
209,GRN202511170209,87,33,2025-11-17,INV-202510300087-01,2025-11-14,DC-202510300087-01,13,Consumables Store,No,Accepted,Accepted receipt for Consumables against PO202510300087,2025-11-17 09:25:00,2025-11-17 10:25:00
210,GRN202511110210,227,32,2025-11-11,INV-202510300227-01,2025-11-08,DC-202510300227-01,3,Consumables Store,Yes,Accepted,Accepted receipt for Consumables against PO202510300227,2025-11-11 09:30:00,2025-11-11 10:30:00
211,GRN202511210211,228,35,2025-11-21,INV-202511040228-01,2025-11-21,DC-202511040228-01,4,Packaging Store,No,Accepted,Accepted receipt for Identification & Documentation against PO202511040228,2025-11-21 09:35:00,2025-11-21 10:35:00
212,GRN202511230212,228,35,2025-11-23,INV-202511040228-02,2025-11-23,DC-202511040228-02,7,Packaging Store,No,Accepted,Accepted receipt for Identification & Documentation against PO202511040228,2025-11-23 09:40:00,2025-11-23 10:40:00
213,GRN202511260213,288,17,2025-11-26,INV-202511040288-01,2025-11-26,DC-202511040288-01,7,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Bearings against PO202511040288,2025-11-26 09:45:00,2025-11-26 10:45:00
214,GRN202511280214,288,17,2025-11-28,INV-202511040288-02,2025-11-28,DC-202511040288-02,9,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Bearings against PO202511040288,2025-11-28 09:50:00,2025-11-28 10:50:00
215,GRN202511210215,91,10,2025-11-21,INV-202511050091-01,2025-11-18,DC-202511050091-01,9,Mechanical Store,No,Accepted,Accepted receipt for Sealing Components against PO202511050091,2025-11-21 09:55:00,2025-11-21 10:55:00
216,GRN202511260216,231,10,2025-11-26,INV-202511050231-01,2025-11-23,DC-202511050231-01,10,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Sealing Components against PO202511050231,2025-11-26 09:00:00,2025-11-26 10:00:00
217,GRN202511270217,89,29,2025-11-27,INV-202511070089-01,2025-11-26,DC-202511070089-01,11,Mechanical Store,No,Received,Received receipt for Fasteners against PO202511070089,2025-11-27 09:05:00,2025-11-27 10:05:00
218,GRN202511220218,229,28,2025-11-22,INV-202511070229-01,2025-11-21,DC-202511070229-01,12,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Fasteners against PO202511070229,2025-11-22 09:10:00,2025-11-22 10:10:00
219,GRN202512030219,90,14,2025-12-03,INV-202511080090-01,2025-12-01,DC-202511080090-01,13,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Mechanical Components against PO202511080090,2025-12-03 09:15:00,2025-12-03 10:15:00
220,GRN202512050220,90,14,2025-12-05,INV-202511080090-02,2025-12-03,DC-202511080090-02,4,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Mechanical Components against PO202511080090,2025-12-05 09:20:00,2025-12-05 10:20:00
221,GRN202511250221,92,2,2025-11-25,INV-202511080092-01,2025-11-25,DC-202511080092-01,4,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202511080092,2025-11-25 09:25:00,2025-11-25 10:25:00
222,GRN202511270222,92,2,2025-11-27,INV-202511080092-02,2025-11-27,DC-202511080092-02,7,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202511080092,2025-11-27 09:30:00,2025-11-27 10:30:00
223,GRN202511290223,230,14,2025-11-29,INV-202511080230-01,2025-11-27,DC-202511080230-01,7,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Mechanical Components against PO202511080230,2025-11-29 09:35:00,2025-11-29 10:35:00
224,GRN202512010224,230,14,2025-12-01,INV-202511080230-02,2025-11-29,DC-202511080230-02,9,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Mechanical Components against PO202511080230,2025-12-01 09:40:00,2025-12-01 10:40:00
225,GRN202511240225,93,18,2025-11-24,INV-202511100093-01,2025-11-23,DC-202511100093-01,9,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electronic Components against PO202511100093,2025-11-24 09:45:00,2025-11-24 10:45:00
226,GRN202511290226,233,18,2025-11-29,INV-202511100233-01,2025-11-28,DC-202511100233-01,10,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electronic Components against PO202511100233,2025-11-29 09:50:00,2025-11-29 10:50:00
227,GRN202512020227,94,22,2025-12-02,INV-202511110094-01,2025-11-30,DC-202511110094-01,11,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202511110094,2025-12-02 09:55:00,2025-12-02 10:55:00
228,GRN202511290228,94,22,2025-11-29,INV-202511110094-02,2025-11-27,DC-202511110094-02,13,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electrical Components against PO202511110094,2025-11-29 09:00:00,2025-11-29 10:00:00
229,GRN202512070229,234,24,2025-12-07,INV-202511110234-01,2025-12-05,DC-202511110234-01,13,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202511110234,2025-12-07 09:05:00,2025-12-07 10:05:00
230,GRN202512040230,234,24,2025-12-04,INV-202511110234-02,2025-12-02,DC-202511110234-02,4,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202511110234,2025-12-04 09:10:00,2025-12-04 10:10:00
231,GRN202511270231,95,20,2025-11-27,INV-202511140095-01,2025-11-24,DC-202511140095-01,4,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202511140095,2025-11-27 09:15:00,2025-11-27 10:15:00
232,GRN202511230232,235,20,2025-11-23,INV-202511140235-01,2025-11-20,DC-202511140235-01,6,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202511140235,2025-11-23 09:20:00,2025-11-23 10:20:00
233,GRN202511250233,236,29,2025-11-25,INV-202511140236-01,2025-11-25,DC-202511140236-01,7,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202511140236,2025-11-25 09:25:00,2025-11-25 10:25:00
234,GRN202511270234,236,29,2025-11-27,INV-202511140236-02,2025-11-27,DC-202511140236-02,9,Mechanical Store,Yes,Accepted,Accepted receipt for Fasteners against PO202511140236,2025-11-27 09:30:00,2025-11-27 10:30:00
235,GRN202511300235,289,20,2025-11-30,INV-202511150289-01,2025-11-29,DC-202511150289-01,9,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202511150289,2025-11-30 09:35:00,2025-11-30 10:35:00
236,GRN202512120236,290,23,2025-12-12,INV-202511260290-01,2025-12-10,DC-202511260290-01,10,Mechanical Store,Yes,Accepted,Accepted receipt for Sealing Components against PO202511260290,2025-12-12 09:40:00,2025-12-12 10:40:00
237,GRN202512220237,97,1,2025-12-22,INV-202512020097-01,2025-12-21,DC-202512020097-01,11,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electrical Components against PO202512020097,2025-12-22 09:45:00,2025-12-22 10:45:00
