po_id,po_number,pr_id,vendor_id,department_id,po_date,expected_delivery_date,payment_terms,delivery_terms,billing_address,shipping_address,subtotal_amount,tax_amount,freight_charges,discount_amount,total_po_amount,currency,po_status,approval_status,approved_by,approved_date,remarks,created_at,updated_at
60,PO202509220060,64,35,2,2025-09-22,2025-10-12,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Closed,Approved,13,2025-09-24,PR-based procurement for Packaging Materials from PR202606300064,2025-09-22 10:53:00,2025-09-22 11:53:00
61,PO202509190061,65,14,1,2025-09-19,2025-10-15,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",98800.00,17784.00,2092.80,0.00,118676.80,INR,Issued,Approved,1,2025-09-19,PR-based procurement for Finished Goods from PR202606300065,2025-09-19 10:00:00,2025-09-19 11:00:00
62,PO202509200062,66,5,1,2025-09-20,2025-10-18,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",423500.00,76230.00,4888.00,0.00,504618.00,INR,Partially Received,Approved,3,2025-09-21,PR-based procurement for Core Components from PR202606300066,2025-09-20 10:07:00,2025-09-20 11:07:00
63,PO202509230063,67,30,1,2025-09-23,2025-10-16,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",46000.00,8280.00,1960.00,0.00,56240.00,INR,Fully Received,Approved,4,2025-09-25,PR-based procurement for Fasteners from PR202606300067,2025-09-23 10:14:00,2025-09-23 11:14:00
64,PO202509260064,68,22,1,2025-09-26,2025-10-13,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",852400.00,153432.00,6614.40,12786.00,999660.40,INR,Cancelled,Pending,,,PR-based procurement for Electrical Components from PR202606300068,2025-09-26 10:21:00,2025-09-26 11:21:00
65,PO202509280065,69,18,1,2025-09-28,2025-10-11,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",2781800.00,500724.00,23754.40,0.00,3306278.40,INR,Issued,Pending,,,PR-based procurement for Electronic Components from PR202606300069,2025-09-28 10:28:00,2025-09-28 11:28:00
66,PO202509240066,70,19,1,2025-09-24,2025-10-07,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Partially Received,Approved,7,2025-09-26,PR-based procurement for Electronic Components from PR202606300070,2025-09-24 10:35:00,2025-09-24 11:35:00
67,PO202509260067,71,25,1,2025-09-26,2025-10-18,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",27600.00,4968.00,1665.60,0.00,34233.60,INR,Fully Received,Approved,8,2025-09-26,PR-based procurement for Insulation Materials from PR202606300071,2025-09-26 10:42:00,2025-09-26 11:42:00
68,PO202509290068,72,26,1,2025-09-29,2025-10-21,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",139900.00,25182.00,2619.20,0.00,167701.20,INR,Closed,Approved,9,2025-09-30,PR-based procurement for Insulation Materials from PR202606300072,2025-09-29 10:49:00,2025-09-29 11:49:00
69,PO202510020069,73,30,1,2025-10-02,2025-10-22,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Issued,Approved,10,2025-10-04,PR-based procurement for Fasteners from PR202606300073,2025-10-02 10:56:00,2025-10-02 11:56:00
70,PO202510060070,74,35,1,2025-10-06,2025-10-27,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Partially Received,Approved,11,2025-10-06,PR-based procurement for Packaging Materials from PR202606300074,2025-10-06 10:03:00,2025-10-06 11:03:00
71,PO202510030071,75,29,1,2025-10-03,2025-10-22,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,375.00,30825.00,INR,Fully Received,Approved,12,2025-10-04,PR-based procurement for Fasteners from PR202606300075,2025-10-03 10:10:00,2025-10-03 11:10:00
72,PO202510040072,76,11,1,2025-10-04,2025-10-27,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",105300.00,18954.00,2553.00,0.00,126807.00,INR,Cancelled,Pending,,,PR-based procurement for Mechanical Components from PR202606300076,2025-10-04 10:17:00,2025-10-04 11:17:00
73,PO202510080073,77,12,1,2025-10-08,2025-10-25,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",28300.00,5094.00,1669.80,0.00,35063.80,INR,Issued,Pending,,,PR-based procurement for Mechanical Components from PR202606300077,2025-10-08 10:24:00,2025-10-08 11:24:00
74,PO202510120074,78,2,1,2025-10-12,2025-10-30,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",42300.00,7614.00,1838.40,0.00,51752.40,INR,Partially Received,Approved,3,2025-10-13,PR-based procurement for Electrical Components from PR202606300078,2025-10-12 10:31:00,2025-10-12 11:31:00
75,PO202510170075,79,20,2,2025-10-17,2025-10-31,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",28300.00,5094.00,1783.00,0.00,35177.00,INR,Fully Received,Approved,4,2025-10-19,PR-based procurement for Electronic Components from PR202606300079,2025-10-17 10:38:00,2025-10-17 11:38:00
76,PO202510150076,80,21,1,2025-10-15,2025-10-31,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Closed,Approved,5,2025-10-15,PR-based procurement for Electronic Components from PR202606300080,2025-10-15 10:45:00,2025-10-15 11:45:00
77,PO202510160077,81,8,1,2025-10-16,2025-11-10,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",94500.00,17010.00,2256.00,0.00,113766.00,INR,Issued,Approved,6,2025-10-17,PR-based procurement for Magnetic Components from PR202606300081,2025-10-16 10:52:00,2025-10-16 11:52:00
78,PO202510180078,82,30,2,2025-10-18,2025-11-07,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,375.00,30875.00,INR,Partially Received,Approved,7,2025-10-20,PR-based procurement for Fasteners from PR202606300082,2025-10-18 10:59:00,2025-10-18 11:59:00
79,PO202510240079,83,31,1,2025-10-24,2025-11-12,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Fully Received,Approved,8,2025-10-24,PR-based procurement for Consumables from PR202606300083,2025-10-24 10:06:00,2025-10-24 11:06:00
80,PO202510250080,84,35,1,2025-10-25,2025-11-16,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,0.00,31200.00,INR,Cancelled,Pending,,,PR-based procurement for Identification & Documentation from PR202606300084,2025-10-25 10:13:00,2025-10-25 11:13:00
81,PO202510210081,85,9,1,2025-10-21,2025-11-29,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",74200.00,13356.00,2242.00,0.00,89798.00,INR,Issued,Approved,10,2025-10-23,PR-based procurement for Magnetic Components from PR202606300085,2025-10-21 10:20:00,2025-10-21 11:20:00
82,PO202510250082,87,19,1,2025-10-25,2025-11-05,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",27400.00,4932.00,1664.40,0.00,33996.40,INR,Partially Received,Approved,11,2025-10-25,PR-based procurement for Electronic Components from PR202606300087,2025-10-25 10:27:00,2025-10-25 11:27:00
83,PO202510270083,88,20,1,2025-10-27,2025-11-09,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",49200.00,8856.00,1893.60,0.00,59949.60,INR,Fully Received,Approved,12,2025-10-28,PR-based procurement for Electronic Components from PR202606300088,2025-10-27 10:34:00,2025-10-27 11:34:00
84,PO202510290084,89,21,1,2025-10-29,2025-11-13,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",78300.00,14094.00,2283.00,0.00,94677.00,INR,Closed,Approved,13,2025-10-31,PR-based procurement for Electronic Components from PR202606300089,2025-10-29 10:41:00,2025-10-29 11:41:00
85,PO202511010085,90,25,1,2025-11-01,2025-11-23,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",236600.00,42588.00,2919.60,3549.00,278558.60,INR,Issued,Approved,1,2025-11-01,PR-based procurement for Insulation Materials from PR202606300090,2025-11-01 10:48:00,2025-11-01 11:48:00
86,PO202510280086,91,29,1,2025-10-28,2025-11-13,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,0.00,31200.00,INR,Partially Received,Approved,3,2025-10-29,PR-based procurement for Fasteners from PR202606300091,2025-10-28 10:55:00,2025-10-28 11:55:00
87,PO202510300087,92,33,1,2025-10-30,2025-11-18,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Fully Received,Approved,4,2025-11-01,PR-based procurement for Consumables from PR202606300092,2025-10-30 10:02:00,2025-10-30 11:02:00
88,PO202511040088,93,35,1,2025-11-04,2025-11-25,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Cancelled,Pending,,,PR-based procurement for Identification & Documentation from PR202606300093,2025-11-04 10:09:00,2025-11-04 11:09:00
89,PO202511070089,94,29,1,2025-11-07,2025-11-26,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,0.00,31200.00,INR,Issued,Approved,6,2025-11-08,PR-based procurement for Fasteners from PR202606300094,2025-11-07 10:16:00,2025-11-07 11:16:00
90,PO202511080090,95,14,1,2025-11-08,2025-12-06,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",164700.00,29646.00,3147.00,0.00,197493.00,INR,Partially Received,Approved,7,2025-11-10,PR-based procurement for Mechanical Components from PR202606300095,2025-11-08 10:23:00,2025-11-08 11:23:00
91,PO202511050091,96,10,1,2025-11-05,2025-11-23,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Fully Received,Approved,8,2025-11-05,PR-based procurement for Sealing Components from PR202606300096,2025-11-05 10:30:00,2025-11-05 11:30:00
92,PO202511080092,97,2,1,2025-11-08,2025-11-26,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",27800.00,5004.00,1722.40,417.00,34109.40,INR,Closed,Approved,9,2025-11-09,PR-based procurement for Electrical Components from PR202606300097,2025-11-08 10:37:00,2025-11-08 11:37:00
93,PO202511100093,98,18,1,2025-11-10,2025-11-24,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",173800.00,31284.00,3238.00,0.00,208322.00,INR,Issued,Approved,10,2025-11-12,PR-based procurement for Electronic Components from PR202606300098,2025-11-10 10:44:00,2025-11-10 11:44:00
94,PO202511110094,99,22,1,2025-11-11,2025-12-01,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",71100.00,12798.00,1926.60,0.00,85824.60,INR,Partially Received,Approved,11,2025-11-11,PR-based procurement for Electrical Components from PR202606300099,2025-11-11 10:51:00,2025-11-11 11:51:00
95,PO202511140095,100,20,1,2025-11-14,2025-11-30,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",326400.00,58752.00,4111.20,0.00,389263.20,INR,Fully Received,Approved,12,2025-11-15,PR-based procurement for Electronic Components from PR202606300100,2025-11-14 10:58:00,2025-11-14 11:58:00
96,PO202511140096,101,30,1,2025-11-14,2025-12-04,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Cancelled,Pending,,,PR-based procurement for Fasteners from PR202606300101,2025-11-14 10:05:00,2025-11-14 11:05:00
97,PO202512020097,103,1,1,2025-12-02,2025-12-23,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Issued,Approved,1,2025-12-02,PR-based procurement for Electrical Components from PR202606300103,2025-12-02 10:12:00,2025-12-02 11:12:00
98,PO202512060098,104,19,1,2025-12-06,2025-12-24,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",229600.00,41328.00,3336.80,0.00,274264.80,INR,Partially Received,Approved,3,2025-12-07,PR-based procurement for Electronic Components from PR202606300104,2025-12-06 10:19:00,2025-12-06 11:19:00
99,PO202512080099,105,30,1,2025-12-08,2025-12-31,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",28300.00,5094.00,1783.00,424.50,34752.50,INR,Fully Received,Approved,4,2025-12-10,PR-based procurement for Fasteners from PR202606300105,2025-12-08 10:26:00,2025-12-08 11:26:00
100,PO202512200100,106,4,1,2025-12-20,2026-01-12,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",341600.00,61488.00,3549.60,0.00,406637.60,INR,Closed,Approved,5,2025-12-20,PR-based procurement for Core Components from PR202606300106,2025-12-20 10:33:00,2025-12-20 11:33:00
101,PO202512190101,108,34,1,2025-12-19,2026-01-02,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,0.00,31200.00,INR,Issued,Approved,6,2025-12-20,PR-based procurement for Packaging Materials from PR202606300108,2025-12-19 10:40:00,2025-12-19 11:40:00
102,PO202512220102,109,30,2,2025-12-22,2026-01-08,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Partially Received,Approved,7,2025-12-24,PR-based procurement for Fasteners from PR202606300109,2025-12-22 10:47:00,2025-12-22 11:47:00
103,PO202512230103,110,28,1,2025-12-23,2026-01-06,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Fully Received,Approved,8,2025-12-23,PR-based procurement for Fasteners from PR202606300110,2025-12-23 10:54:00,2025-12-23 11:54:00
104,PO202512260104,111,2,1,2025-12-26,2026-01-16,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",408500.00,73530.00,4768.00,0.00,486798.00,INR,Cancelled,Pending,,,PR-based procurement for Electrical Components from PR202606300111,2025-12-26 10:01:00,2025-12-26 11:01:00
105,PO202512290105,112,10,1,2025-12-29,2026-01-21,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",824200.00,148356.00,9742.00,0.00,982298.00,INR,Issued,Approved,10,2025-12-31,PR-based procurement for Finished Goods from PR202606300112,2025-12-29 10:08:00,2025-12-29 11:08:00
106,PO202512290106,113,7,1,2025-12-29,2026-01-29,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",283600.00,51048.00,3201.60,4254.00,333595.60,INR,Partially Received,Approved,11,2025-12-29,PR-based procurement for Magnetic Components from PR202606300113,2025-12-29 10:15:00,2025-12-29 11:15:00
107,PO202512310107,114,29,1,2025-12-31,2026-01-19,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,0.00,31200.00,INR,Fully Received,Approved,12,2026-01-01,PR-based procurement for Fasteners from PR202606300114,2025-12-31 10:22:00,2025-12-31 11:22:00
108,PO202601030108,115,24,1,2026-01-03,2026-01-28,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",419200.00,75456.00,5692.00,0.00,500348.00,INR,Closed,Approved,13,2026-01-05,PR-based procurement for Electrical Components from PR202606300115,2026-01-03 10:29:00,2026-01-03 11:29:00
109,PO202601050109,116,18,1,2026-01-05,2026-01-17,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",78400.00,14112.00,1970.40,0.00,94482.40,INR,Issued,Pending,,,PR-based procurement for Electronic Components from PR202606300116,2026-01-05 10:36:00,2026-01-05 11:36:00
110,PO202601080110,117,19,1,2026-01-08,2026-01-20,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,0.00,31200.00,INR,Partially Received,Approved,3,2026-01-09,PR-based procurement for Electronic Components from PR202606300117,2026-01-08 10:43:00,2026-01-08 11:43:00
111,PO202601060111,118,30,1,2026-01-06,2026-01-23,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Fully Received,Approved,4,2026-01-08,PR-based procurement for Fasteners from PR202606300118,2026-01-06 10:50:00,2026-01-06 11:50:00
112,PO202601080112,119,11,2,2026-01-08,2026-01-26,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Cancelled,Pending,,,PR-based procurement for Sealing Components from PR202606300119,2026-01-08 10:57:00,2026-01-08 11:57:00
113,PO202601090113,120,23,1,2026-01-09,2026-01-29,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,375.00,30825.00,INR,Issued,Approved,6,2026-01-10,PR-based procurement for Electrical Components from PR202606300120,2026-01-09 10:04:00,2026-01-09 11:04:00
114,PO202601190114,121,19,1,2026-01-19,2026-02-04,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Partially Received,Approved,7,2026-01-21,PR-based procurement for Electronic Components from PR202606300121,2026-01-19 10:11:00,2026-01-19 11:11:00
115,PO202601200115,122,4,1,2026-01-20,2026-02-18,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",445500.00,80190.00,4173.00,0.00,529863.00,INR,Fully Received,Approved,8,2026-01-20,PR-based procurement for Core Components from PR202606300122,2026-01-20 10:18:00,2026-01-20 11:18:00
116,PO202601160116,123,10,1,2026-01-16,2026-02-10,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",511600.00,92088.00,5592.80,0.00,609280.80,INR,Closed,Approved,9,2026-01-17,PR-based procurement for Mechanical Components from PR202606300123,2026-01-16 10:25:00,2026-01-16 11:25:00
117,PO202601210117,124,11,1,2026-01-21,2026-02-13,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Issued,Approved,10,2026-01-23,PR-based procurement for Sealing Components from PR202606300124,2026-01-21 10:32:00,2026-01-21 11:32:00
118,PO202601230118,125,35,1,2026-01-23,2026-02-07,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Partially Received,Approved,11,2026-01-23,PR-based procurement for Packaging Materials from PR202606300125,2026-01-23 10:39:00,2026-01-23 11:39:00
